Position,Title,Type,Stories_Title,Source_Name,Source_Icon,Source_Authors,Link,Thumbnail,Date,Extracted_Date,Extracted_Time,Source_Icon_Domain,Link_Domain,Thumbnail_Domain,title_length,source_encoded,extracted_date,recency_factor,popularity_score,Sentiment_Score,Compound,Positive,Negative,Neutral,Sentiment_Label,polarity,sentiment_score
19,pakistan use patio heaters and giant fans to prepare pitch for third test,block,,The Guardian,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw,Simon Burnton,https://www.theguardian.com/sport/2024/oct/20/cricket-pakistan-patio-heaters-giant-fans-pitch-third-test-england,https://i.guim.co.uk/img/media/a739cc26e51d765376d0998e0502d94bbd92ce58/0_74_2244_1346/master/2244.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=a84295be6757f297a98bf2463e44b682,2024-10-20 17:37:00+00:00,2024-10-20,17:37:00,lh3.googleusercontent.com,www.theguardian.com,i.guim.co.uk,73,437,2024-10-20,15,0.6896328422053232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
20,bangladesh vs south africa live streaming st test live telecast when and where to watch,block,,NDTV Sports,https://lh3.googleusercontent.com/sXxBVh8-O2ES4qxBT6SVUfw64x1ZAEd6HTaweDqieh47Ne5oApAnTNn4QU3rZ9ALH0QdM9TvAw,,https://sports.ndtv.com/cricket/bangladesh-vs-south-africa-live-streaming-1st-test-live-telecast-when-and-where-to-watch-6836310,"https://c.ndtvimg.com/2024-10/ers46aq_cas_625x300_21_October_24.jpeg?im=FeatureCrop,algorithm=dnn,width=806,height=605",2024-10-21 04:06:00+00:00,2024-10-21,04:06:00,lh3.googleusercontent.com,sports.ndtv.com,c.ndtvimg.com,87,293,2024-10-21,14,0.5109315589353611,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.13636363636363635,0.13636363636363635
21,gavaskar lambasts fitness purists in indian cricket sarfaraz khans returns on the field even more prodigious,block,,Hindustan Times,https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ,,https://www.hindustantimes.com/cricket/gavaskar-lambasts-fitness-purists-in-indian-cricket-sarfaraz-khan-returns-on-the-field-even-more-prodigious-101729505542673.html,https://www.hindustantimes.com/ht-img/img/2024/10/21/1600x900/Sarfaraz_Khan_1729506089949_1729506090175.jpg,2024-10-21 10:25:00+00:00,2024-10-21,10:25:00,lh3.googleusercontent.com,www.hindustantimes.com,www.hindustantimes.com,108,190,2024-10-21,14,0.4039923954372622,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",0.2732,0.123,0.0,0.877,Positive,0.5,0.5
22,live cricket score  todays cricket match scorecard  commentary,block,,ESPNcricinfo,https://lh3.googleusercontent.com/1F5q05f6DSmrJdzUivT_FtnrMvAJNXtd-Plv06ozSQBoVO1zaRrCqqg8JNOKpzb2vJUwvFpftQ,,https://www.espncricinfo.com/live-cricket-score,https://www.espncricinfo.com/db/PICTURES/CMS/368500/368515.4.jpg,2020-12-10 21:09:00+00:00,2020-12-10,21:09:00,lh3.googleusercontent.com,www.espncricinfo.com,www.espncricinfo.com,62,119,2020-12-10,1425,0.215210125373962,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.13636363636363635,0.13636363636363635
23,india all out for  in first cricket test match against new zealand,block,,Al Jazeera English,https://lh3.googleusercontent.com/l-Ps9rkWuApN8G3MB5uZC_a5G7iKCTITjMdpZFhm2rQf3U2M2Yr_KTYpzpmOPxDiUKgb9yN9ha8,,https://www.aljazeera.com/sports/2024/10/17/india-all-out-for-46-in-first-cricket-test-match-against-new-zealand,https://www.aljazeera.com/wp-content/uploads/2024/10/AFP__20241017__36K96LL__v1__HighRes__CricketIndNzlTest-1729152392_a589a1-1729155252.jpg?resize=1200%2C630&quality=80,2024-10-17 12:22:00+00:00,2024-10-17,12:22:00,lh3.googleusercontent.com,www.aljazeera.com,www.aljazeera.com,66,14,2024-10-17,18,0.0731739043426055,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.19318181818181818,0.19318181818181818
24,cricket scores  fixtures,block,,BBC.com,https://lh3.googleusercontent.com/_XS8V0jvDj-pe4NDxsc_8_YEk38hNH30ocGDk7oEwtRZNw-kUUuQouAYLFO0uIPFLX05QCKyoSo,,https://www.bbc.com/sport/cricket/scores-fixtures,https://static.files.bbci.co.uk/core/website/assets/static/sport/bbc-sport-logo.0da9386782224b380455.png,2019-06-05 08:35:00+00:00,2019-06-05,08:35:00,lh3.googleusercontent.com,www.bbc.com,static.files.bbci.co.uk,24,30,2019-06-05,1979,0.016065358912317,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.0,0.0
25,cheteshwar pujara eclipses brian laras first class record continues to plunder runs in redball cricket,block,,Hindustan Times,https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ,,https://www.hindustantimes.com/cricket/cheteshwar-pujara-eclipses-brian-laras-first-class-record-continues-to-plunder-runs-in-red-ball-cricket-101729497206564.html,https://www.hindustantimes.com/ht-img/img/2024/10/21/1600x900/PTI01-21-2024-000107A-0_1707987741978_1729497405318.jpg,2024-10-21 08:49:00+00:00,2024-10-21,08:49:00,lh3.googleusercontent.com,www.hindustantimes.com,www.hindustantimes.com,102,190,2024-10-21,14,0.3925855513307984,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.25,0.25
26,ecb bans transgender women from top two tiers of womens domestic cricket,block,,The Guardian,https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw,,https://www.theguardian.com/sport/2024/oct/17/cricket-transgender-women-banned-top-two-tiers,https://i.guim.co.uk/img/media/c23da3bf0ae46c496d6f9e13f0f7f6e71424e5b8/0_424_3220_1932/master/3220.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=c49c1a7a6ebdffd78ef400d7d34126f1,2024-10-18 01:31:00+00:00,2024-10-18,01:31:00,lh3.googleusercontent.com,www.theguardian.com,i.guim.co.uk,72,437,2024-10-18,17,0.6877217997465146,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}",0.2023,0.141,0.0,0.859,Positive,0.25,0.25
27,cricket ms dhoni to quit chennai super kings ipl and play t in uae what we know so far,block,,Mint,https://lh3.googleusercontent.com/JufTzTMu9l6RFyXEEfl6ZPdS7xjYhoSXVmDHURyphjVSNK2zH8uWdyJKd9gg0YOYUCop4Alylis,Sounak Mukherjee,https://www.livemint.com/sports/cricket-news/cricket-ms-dhoni-to-quit-chennai-super-kings-ipl-and-play-t10-in-uae-what-we-know-so-far-11729480566651.html,https://www.livemint.com/lm-img/img/2024/10/21/1600x900/PTI03-31-2024-000445A-0_1711932707900_1729480743094.jpg,2024-10-21 03:55:00+00:00,2024-10-21,03:55:00,lh3.googleusercontent.com,www.livemint.com,www.livemint.com,86,273,2024-10-21,14,0.4805133079847907,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.743}",0.743,0.27,0.0,0.73,Positive,0.21666666666666667,0.21666666666666667
28,new zealand cricket slammed on social media for showing incorrect map of india,block,,Hindustan Times,https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ,,https://www.hindustantimes.com/cricket/new-zealand-cricket-slammed-on-social-media-for-showing-incorrect-map-of-india-101729491729271.html,https://www.hindustantimes.com/ht-img/img/2024/10/21/1600x900/new_zealand_cricket_1729493022203_1729493062960.jpg,2024-10-21 07:40:00+00:00,2024-10-21,07:40:00,lh3.googleusercontent.com,www.hindustantimes.com,www.hindustantimes.com,78,190,2024-10-21,14,0.3469581749049428,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,Neutral,0.08484848484848484,0.08484848484848484
